Movie,Steve Phoenix: The Untold Story,Steve Phoenix: The Untold Story,2012,110,Drama
Movie,High-Rise,High-Rise,2015,119,Drama
Movie,Satan Hates You,Satan Hates You,2010,94,Horror
Movie,Silent Alarm,Silent Alarm,2011,82,"Comedy,drama,thriller"
Movie,Federal,Federal,2010,,"Drama,thriller"
Movie,The Devil You Know,The Devil You Know,2013,76,"Mystery,thriller"
Movie,"Guns, Drugs and Dirty Money","Guns, Drugs and Dirty Money",2010,123,"Action,comedy,crime"
Movie,House at the End of the Drive,House at the End of the Drive,2014,91,"Horror,thriller"
Movie,Piranha 3D,Piranha 3D,2010,88,"Comedy,horror,thriller"
Movie,Komaram Puli,Komaram Puli,2010,163,"Action,crime,thriller"
Movie,Act Your Age,Act Your Age,2011,101,"Comedy,drama"
Movie,Taken by Force,Taken by Force,2010,90,Action
Video,Within: Terror Resides...,Within: Terror Resides...,2011,85,"Horror,thriller"
Movie,Sensual,Sensual,2010,99,Drama
Movie,Golapi Ekhon Bilatey,Golapi Ekhon Bilatey,2010,,Musical
Videogame,Alan Wake,Alan Wake,2010,,"Action,drama,horror"
Movie,Margaret,Margaret,2011,150,Drama
Movie,Alan Partridge,Alan Partridge: Alpha Papa,2013,90,"Action,comedy,crime"
Movie,Harlem Hostel,Harlem Hostel,2010,81,"Comedy,drama"
Movie,Smoking/Non-Smoking,The Pack,2011,84,Drama
Movie,Platinum Illusions,Platinum Illusions,2011,,"Action,drama"
Movie,Ex Machina,Ex Machina,2014,108,"Drama,mystery,sci-fi"
Movie,"Hot Country, Cold Winter","Tak erkir, tsurt dzmer",2016,104,Drama
Movie,Tower Heist,Tower Heist,2011,104,"Action,comedy,crime"
Movie,The Smurfs,The Smurfs,2011,103,"Adventure,animation,comedy"
Movie,The Mechanic,The Mechanic,2011,93,"Action,crime,thriller"
Short,Historietas Assombradas (para Crianças Malcriadas),Historietas Assombradas (para Crianças Malcriadas),2013,16,"Animation,short"
Movie,Escape from Heaven,Escape from Heaven,2018,,"Comedy,fantasy"
Movie,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116,"Action,adventure,fantasy"
Movie,Stan,Stan,2011,,Comedy
Movie,Bamboo Shark,Bamboo Shark,2011,,Comedy
Movie,Cielito lindo,Cielito lindo,2010,91,"Drama,thriller"
Movie,Clutch,Clutch,2012,,"Action,drama"
Movie,"Hail, Caesar!","Hail, Caesar!",2016,106,"Comedy,mystery"
Movie,Persona Au Gratin,Persona Au Gratin,2012,93,Comedy
Tvseries,Westworld,Westworld,2016,62,"Drama,mystery,sci-fi"
Movie,The Deafening Silence of a Very Bright Light,The Deafening Silence of a Very Bright Light,2010,92,Drama
Movie,Stiffs,Stiffs,2010,104,Comedy
Movie,Unstoppable,Unstoppable,2010,98,"Action,thriller"
Movie,Sid Bernstein Presents...,Sid Bernstein Presents...,2010,100,Documentary
Movie,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,2011,129,"Adventure,drama,mystery"
Movie,The Tree of Life,The Tree of Life,2011,139,"Drama,fantasy"
Movie,El horror de la dama del lago,El horror de la dama del lago,2010,90,"Fantasy,horror,thriller"
Movie,Ant-Man,Ant-Man,2015,117,"Action,adventure,comedy"
Movie,The Greater Meaning of Water,The Greater Meaning of Water,2010,60,"Drama,sport"
Movie,Perfect Life,Perfect Life,2010,98,"Horror,thriller"
Movie,Abhishapt,Abhishapt,2011,,Drama
Movie,Season of the Witch,Season of the Witch,2011,95,"Action,adventure,fantasy"
Movie,Atlas Shrugged: Part I,Atlas Shrugged: Part I,2011,97,"Drama,mystery,sci-fi"
Movie,The Losers,The Losers,2010,97,"Action,adventure,crime"
Movie,Hall Pass,Hall Pass,2011,105,"Comedy,romance"
Movie,Felix Austria!,Felix Austria!,2013,77,"Biography,documentary,history"
Movie,The Croods,The Croods,2013,98,"Action,adventure,animation"
Movie,Bandage,Bandeiji,2010,119,"Drama,music,romance"
Movie,Barry Munday,Barry Munday,2010,95,"Comedy,drama,romance"
Movie,Chasing 3000,Chasing 3000,2010,115,"Family,sport"
Movie,Monkey Man,Monkey Man,2011,,Comedy
Movie,A Woman Is a Woman,A Woman Is a Woman,2010,102,"Comedy,drama"
Movie,Gente mala del norte,Gente mala del norte,2011,97,"Drama,history"
Movie,La daga de Rasputín,La daga de Rasputín,2011,99,"Adventure,comedy"
Movie,U Want Me 2 Kill Him?,uwantme2killhim?,2013,92,"Drama,thriller"
Movie,Sushi in Suhl,Sushi in Suhl,2012,100,"Comedy,drama"
Movie,Red Tails,Red Tails,2012,125,"Action,adventure,drama"
Movie,Making Change,Making Change,2012,94,Drama
Tvseries,NFL Primetime,NFL Primetime,2012,60,"News,sport,talk-show"
Tvseries,Carnival Row,Carnival Row,2019,,"Fantasy,horror,mystery"
Movie,Aftermath,Aftermath,2013,84,"Crime,thriller"
Movie,PrimeMates,PrimeMates,2010,82,"Comedy,drama"
Movie,Silence,Silence,2016,161,"Adventure,drama,history"
Movie,The Invited,The Invited,2010,95,"Horror,thriller"
Movie,Double Tap,Double Tap,2011,100,"Action,crime,drama"
Movie,Something Borrowed,Something Borrowed,2011,112,"Comedy,drama,romance"
Movie,Suburbicon,Suburbicon,2017,105,"Crime,drama,mystery"
Movie,Tulip Fever,Tulip Fever,2017,105,"Drama,history,romance"
Movie,Furry Vengeance,Furry Vengeance,2010,92,"Comedy,family"
Movie,Nina,Nina,2016,90,"Biography,drama,music"
Tvmovie,"The I Do Diaries: Beg, Borrow & Steal","The I Do Diaries: Beg, Borrow & Steal",2010,60,Reality-tv
Movie,CHIPS,CHIPS,2017,100,"Action,comedy,crime"
Movie,Ramona and Beezus,Ramona and Beezus,2010,103,"Adventure,comedy,family"
Movie,Good Sharma,Good Sharma,2010,100,Drama
Movie,Bad Blood,Bad Blood,2012,107,"Horror,mystery,romance"
Movie,O Inimigo Sem Rosto,O Inimigo Sem Rosto,2010,85,"Crime,drama"
Movie,Prisoners of the Sun,Prisoners of the Sun,2013,85,"Action,adventure,horror"
Videogame,Darkstar: The Interactive Movie,Darkstar: The Interactive Movie,2010,,"Action,adventure,mystery"
Tvseries,Comentário Geral,Comentário Geral,2010,,News
